ID_Stazione,nome,LONG_X_4326,LAT_Y_4326,Location
"1,via Pascal,9.23478031158447,45.4740982055664,""(45.4740982055664, 9.23478031158447)"""
"2,viale Liguria,9.16944026947021,45.4441986083984,""(45.4441986083984, 9.16944026947021)"""
"3,viale Marche,9.19083976745605,45.4962997436523,""(45.4962997436523, 9.19083976745605)"""
"4,via Senato ,9.19791984558105,45.4705009460449,""(45.4705009460449, 9.19791984558105)"""
"5,Verziere,9.19534015655518,45.4635009765625,""(45.4635009765625, 9.19534015655518)"""
